"Tool Name","Type","Key Features","Free Limits","Best For","Link"
"WebWave AI","AI Website Builder","AI generates full site from text prompt; drag-drop edits; multilingual","Unlimited basic sites; ads on free","Quick AI-generated sites","[webwave.me/ai-website-builder]webwave"
"Wix AI","AI Website Builder","2,000+ templates; AI builder + editor; mobile-ready","500MB storage; Wix branding/ads","Design flexibility","[wix.com]websiteplanet"
"SITE123","Website Builder","Simple editor; templates; blogging; analytics","250MB storage; ads","Absolute beginners","[site123.com]websiteplanet"
"Jotform AI","AI Website Builder","AI builds from description; forms/payments; drag-drop","Basic sites forever; some limits","Forms-heavy sites","[jotform.com/ai/website-builder]jotform"
"Google Sites","Website Builder","Drag-drop; Google Drive integration; super simple","Unlimited; Google branding","Portfolios/basic pages","[sites.google.com]youtube"
"Jimdo","Website Builder","Templates; e-commerce basics; mobile","500MB storage; ads","Small business","[jimdo.com]youtube"
"Mozello","Website Builder","Multilingual; blog; SEO tools","3 pages; ads","Multi-language sites","[mozello.com]youtube"
"QuillBot AI","AI Website Builder","Prompt-to-site; responsive; content gen","Basic sites; no coding","Portfolios","[quillbot.com/ai-website-builder]quillbot"
"Readdy AI","AI Website Builder","Zero-code; pro designs fast","Fully free basic","Entrepreneursyoutube","Search ""Readdy AI"""
"Formula Bot AI","AI Helper (Bonus)","Generates Excel sheets from prompts","Free forever; no signup","Planning your site dataformulabot","[formulabot.com]formulabot"